[88.816, 159.385, 0.0]
[88.787, 159.393, 1.0]
[88.776, 159.349, 1.0]
[88.816, 159.385, 0.0]
[88.776, 159.349, 1.0]
[88.805, 159.342, 0.0]
[88.776, 159.349, 1.0]
[88.795, 159.298, 0.0]
[88.805, 159.342, 0.0]
[88.776, 159.349, 1.0]
[88.766, 159.304, 1.0]
[88.795, 159.298, 0.0]
[88.766, 159.304, 1.0]
[88.787, 159.254, 0.0]
[88.795, 159.298, 0.0]
[88.766, 159.304, 1.0]
[88.757, 159.259, 1.0]
[88.787, 159.254, 0.0]
[88.757, 159.259, 1.0]
[88.781, 159.21, 0.0]
[88.787, 159.254, 0.0]
[88.757, 159.259, 1.0]
[88.751, 159.213, 1.0]
[88.781, 159.21, 0.0]
[88.751, 159.213, 1.0]
